label,site,replicate,classification,latitude,longitude,elevation,aspect,slope,base_veg_cover,height
9.2,9,2,Sandy loam,-32.3918610345572,19.1508939955384,1539.686523,204.84235,5.63468,58,17.0899369818347
9.3,9,3,Loamy sand,-32.3904699739069,19.1499610058963,1545.284668,218.88628,5.07915,61.15,16.4655772858898
9.4,9,4,Loamy sand,-32.3881760146469,19.1484550293535,1556.874634,239.37595,9.67221,60.75,21.9846256684492
10.1,10,1,Loamy sand,-32.3552959877998,19.1525510139763,1608.988525,263.24033,20.8231,58,25.3683172562565
10.2,10,2,Loamy sand,-32.3552819900215,19.1534300241619,1648.619141,251.51414,26.98198,43.05,24.3882357721643
10.3,10,3,Loamy sand,-32.3544550314546,19.1536890249699,1653.310913,265.85043,29.35403,42.25,22.4052118662912
10.4,10,4,Loamy sand,-32.3535780329257,19.1528499964625,1612.94104,272.73804,23.07247,48.15,23.8700279743037
11.1,11,1,Loamy sand,-32.3556030169129,19.165153959766,1841.95752,317.89764,5.43108,51.4,16.8142222490049
11.2,11,2,Sand,-32.3538019973785,19.1628930252045,1881.574585,70.32634,9.60547,36,15.9210638898139
11.3,11,3,Sand,-32.3550700116903,19.1615810059011,1923.259766,186.99713,15.36098,45,28.5234154672419
11.4,11,4,Loamy sand,-32.356329979375,19.1644079703838,1832.560669,271.10834,7.98444,65.75,18.0479045443834
12.1,12,1,Loamy sand,-32.3498200066388,19.1675169859082,1658.346191,66.43203,37.60199,38.5,19.1729171366268
12.2,12,2,Loamy sand,-32.3505700193346,19.1675319895148,1650.244385,85.50224,37.89845,39,23.3315794937479
12.3,12,3,Sand,-32.3519680369645,19.1677759867162,1655.527954,93.27725,35.44636,42.3,23.4553803600293
12.4,12,4,Loamy sand,-32.3538529593498,19.1677960194647,1667.026855,65.98354,40.58328,33.3,20.1113930881987
13.1,13,1,Loamy sand,-32.3477820307016,19.1708499658853,1562.300781,71.82147,13.21392,55.3,20.6658715013331
13.2,13,2,Loamy sand,-32.3472139891237,19.1718869749457,1529.98999,64.49944,13.97833,56.1,17.6830707337021
13.3,13,3,Loamy sand,-32.349004028365,19.1706150211394,1571.685547,67.39622,13.3044,49.3,21.4878977388016
13.4,13,4,Loamy sand,-32.3491200339049,19.1699380148202,1582.203003,64.41184,18.73784,47.05,20.2348932516199
14.1,14,1,Loamy sand,-32.3458899836987,19.1389610152692,1268.886597,344.97812,20.55682,83.1,34.7422422854867
14.2,14,2,Loamy sand,-32.3454689607024,19.1378789953887,1273.400024,350.47446,9.29613,48.4,24.1428544974649
14.3,14,3,Loamy sand,-32.3445290140808,19.13828400895,1282.653687,346.77982,1.5964,45.9,23.3834588180573
14.4,14,4,Loamy sand,-32.3468340374529,19.1363499686122,1295.870239,344.68845,10.59539,51.65,23.7481122708926
15.1,15,1,Loamy sand,-32.3321969714016,19.1410020086914,1138.148315,90,2.0074,61.05,33.0948758582717
15.2,15,2,Loamy sand,-32.3326559644192,19.1423420235515,1139.348755,13.59309,10.74735,58.8,29.6804962936991
15.3,15,3,Sand,-32.3312029615045,19.1422039736062,1130.409424,103.94715,4.50532,59.2,26.4068487893725
15.4,15,4,Sand,-32.3324220255017,19.1453360393643,1138.104126,310.41348,1.67799,44.25,20.32753254103
16.1,16,1,Loamy sand,-32.3110620025545,19.1706099919975,933.246887,358.3045,17.90052,45.3,29.5888303330735
16.2,16,2,Loamy sand,-32.3106600064784,19.1723260190338,925.777588,4.332,4.82133,41.15,28.1946928958314
16.3,16,3,Sand,-32.31046596542,19.1739899944514,922.255493,331.91083,2.90487,42,27.9998278567497
16.4,16,4,Loamy sand,-32.310220040381,19.1752190329134,928.283508,318.22305,18.50577,37.8,30.9168971455144
17.1,17,1,Loamy sand,-32.2794670052826,19.2192550376058,517.15564,275.56122,12.62429,13.65,55.3557718377206
17.2,17,2,Loamy sand,-32.280141999945,19.2199899628758,525.988464,277.37372,14.23443,15.75,37.2482917823391
17.3,17,3,Loamy sand,-32.2793400194496,19.2199499811977,539.61261,275.56122,12.62429,12.5,34.0013227513228
17.4,17,4,Loamy sand,-32.2785750031471,19.2194250226021,555.380249,277.7016,11.44485,19.5,36.1761640683209
