Date;Season;Sampling_event;Vegetation_type;Elevation;Acropyga arnoldi;Aenictus rotundatus;Aenictus sp.1;Anochetus levaillanti;Anoplolepis custodiens;Anoplolepis steingroeveri;Bothroponera cavernosa;Bothroponera pumicosa;Camponotus angusticeps;Camponotus baynei;Camponotus emarginatus;Camponotus fulvopilosus;Camponotus irredux;Camponotus mystaceus;Camponotus niveosetosus;Camponotus simulans;Camponotus sp.1;Camponotus sp.10;Camponotus sp.11;Camponotus sp.12;Camponotus sp.13;Camponotus sp.14;Camponotus sp.16;Camponotus sp.2;Camponotus sp.28;Camponotus sp.3;Camponotus sp.4;Camponotus sp.5;Camponotus sp.6;Camponotus sp.7;Camponotus sp.8;Camponotus sp.maculatus group;Camponotus vestitus;Cardiocondyla shuckardi;Cerapachys wroughtoni;Crematogaster melanogaster;Crematogaster peringueyi;Crematogaster sp.1;Crematogaster sp.2;Crematogaster sp.3;Crematogaster sp.4;Crematogaster sp.5;Crematogaster sp.7;Dorylus helvolus;Hypoponera sp.1;Lepisiota sp.4;Lepisiota sp.5;Lepisiota sp.6;Lepisiota sp.7;Lepisiota sp.capensis;Lepisiota sp.spinonsior;Leptogenys peringueyi;Leptothorax sp.1;Leptothorax sp.2;Leptothorax sp.3;Leptothorax sp.4;Leptothorax sp.6;Meranoplus peringueyi;Messor capensis;Messor decipiens;Messor sp.1;Monomorium esharre;Monomorium excelsior;Monomorium fridae;Monomorium havilandi;Monomorium macrops;Monomorium sp.1;Monomorium sp.10;Monomorium sp.2;Monomorium sp.3;Monomorium sp.5;Monomorium sp.6;Monomorium sp.7;Monomorium sp.8;Monomorium sp.9;Monomorium speculiceps;Monomorium willowmorense;Monomorium xanthognathum;Myrmicaria nigra;Nesomyrmex antoinettea;Nesomyrmex cederbergensis;Nesomyrmex ezantsi;Nesomyrmex karooensis;Nesomyrmex ruani;Nesomyrmex sp. njengelanga;Ocymyrmex barbiger;Pheidole sp.4;Plagiolepis sp.1;Plagiolepis sp.2;Solenopsis punctaticeps;Strumigenys sp.1;Tapinolepis sp.1;Tapinoma sp.1;Technomyrmex pallipes;Technomyrmex sp.1;Tetramorium capensis;Tetramorium dichroum;Tetramorium erectum;Tetramorium frigidum;Tetramorium jordani;Tetramorium sericeiventre;Tetramorium solidum;Tetramorium sp.10;Tetramorium sp.12;Tetramorium sp.1C;Tetramorium sp.2;Tetramorium sp.20;Tetramorium sp.22;Tetramorium sp.3;Tetramorium sp.4;Tetramorium sp.7;Tetramorium sp.8;Tetramorium sp.9;Tetramorium squaminode
Mar_2003;March;2002-2003;Restioid;900 m a.s.l. W;0;0;0;0;56;30;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;213;0;0;0;0;0;0;0;0;0;0;0;0;0;199;0;0;0;0;0;0;0;0;61;0;0;0;0;10;0;0;0;0;0;0;0;64;49;0;3;0;0;0;3;0;0;0;0;1;4;0;35;0;0;0;0;4;0;0;9;0;0;0;0;0
Mar_2023;March;2022-2023;Restioid;900 m a.s.l. W;0;0;0;0;0;24392;0;0;2;0;0;0;0;2;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;180;0;0;0;0;0;0;0;0;0;0;0;0;0;575;0;0;0;0;0;8;0;0;110;0;0;0;0;4;0;0;0;0;0;0;0;14;24;2;0;0;0;0;6;0;0;0;2;0;10;0;16;0;0;0;20;0;0;0;0;0;3;0;0;0
Oct_2002;October;2002-2003;Restioid;900 m a.s.l. W;0;0;0;0;149;94;0;0;6;0;0;0;0;34;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;84;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;297;0;0;0;0;0;0;0;0;18;0;0;0;0;3;0;0;0;0;0;0;0;53;110;0;7;0;0;0;0;0;0;0;1;0;3;0;56;0;8;0;0;0;0;0;13;0;0;0;0;0
Oct_2022;October;2022-2023;Restioid;900 m a.s.l. W;0;0;0;0;0;469;0;0;10;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;496;0;0;0;0;0;0;0;0;61;0;0;0;0;0;0;0;0;0;0;0;0;15;9;2;5;0;0;0;0;3;0;0;0;0;0;0;13;0;0;0;17;0;0;0;2;0;0;0;0;0
Mar_2003;March;2002-2003;Ericaceous;1100 m a.s.l. W;0;0;0;0;624;0;0;0;23;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;0;0;0;0;0;0;0;79;0;0;0;0;0;0;0;0;0;0;0;0;195;96;0;0;1;0;0;0;0;0;0;0;0;0;0;63;15;0;0;0;0;0;0;1;0;0;0;0;0
Mar_2023;March;2022-2023;Ericaceous;1100 m a.s.l. W;0;0;0;0;857;994;0;0;7;0;0;0;0;21;11;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;7;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;2;0;0;5;0;0;0;8;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;264;155;0;0;0;0;0;0;0;0;0;0;0;4;0;98;25;0;0;4;0;0;0;0;0;0;0;0;0
Oct_2002;October;2002-2003;Ericaceous;1100 m a.s.l. W;0;0;0;0;275;0;0;0;6;0;0;0;0;9;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4;2;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;2;86;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;58;22;0;88;1;0;0;0;0;0;0;0;2;2;0;57;25;0;0;0;0;0;0;0;0;0;0;0;0
Oct_2022;October;2022-2023;Ericaceous;1100 m a.s.l. W;0;0;0;0;223;14;0;0;15;0;0;0;0;13;7;0;0;0;0;0;0;0;7;0;2;14;0;0;0;7;0;0;1;3;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;76;0;0;0;0;0;0;0;4;0;0;0;0;188;121;0;0;0;0;0;0;0;0;0;0;0;1;0;52;21;0;0;11;0;0;0;0;0;0;0;0;0
Mar_2003;March;2002-2003;Ericaceous;1300 m a.s.l. W;0;0;0;0;41;0;0;0;46;0;6;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;6;0;3;0;0;0;9;4;0;0;0;1;0;0;0;0;0;0;0;9;0;0;0;22;1;0;0;0;0;0;0;0;0;0;0;0;0;1164;20;0;0;0;0;0;0;0;64;0;0;0;0;0;0;0;0;0;0;0;0;155;0;0;8;0;0;0;0;0;1;0;0;0;0;0;16;0;0;0;0;0;0;0;13;0;0;0;0;0
Mar_2023;March;2022-2023;Ericaceous;1300 m a.s.l. W;0;0;0;0;174;433;0;0;3;0;0;0;0;0;4;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;67;0;0;0;0;0;0;0;0;0;0;3;0;0;168;49;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;264;39;1;3;0;0;0;4;0;0;0;0;0;1;0;75;0;0;0;14;0;0;0;0;12;0;0;0;0
