site,replicate,year,pH (Kcl),Resist. (ohm),H+ (cmol/Kg),P (Bray ll) (mg/kg),K (mg/kg),Na,K_cation,Ca,Mg,C (%),NO3 (mg/kg),clay,silt,sand,rock,Na (%),K (%),Ca (%),Mg (%),T Value (cmol/kg)
8,3,2002,4.6,2330,1.27,8,98,0.1,0.25,2.09,0.91,1.73,9.13,2.6,5.9,87.2,11,2.27,5.44,45.21,19.62,4.62
8,4,2002,4,1800,1.47,3,85,0.11,0.22,1.06,0.56,1.35,13.39,3.6,7.1,91.5,5,3.24,6.37,31.02,16.31,3.41
9,1,2002,3.5,920,3.39,13,124,0.07,0.32,1.28,0.71,3.47,44.8,3.1,10.8,89.3,10,1.2,5.51,22.23,12.3,5.77
9,2,2002,3.4,840,2.88,15,65,0.04,0.17,0.89,0.4,2.14,45.3,2.8,4.9,86.1,5,1.01,3.77,20.3,9.23,4.38
9,3,2002,3.5,3200,1.14,13,68,0.08,0.17,0.55,0.23,2.74,8.37,2.7,7.4,82.3,15,3.6,8.05,25.15,10.58,2.17
9,4,2002,3.7,1450,3.39,13,103,0.06,0.26,1.16,0.48,3.32,26.35,5.4,7.6,89.9,12,1.12,4.92,21.69,8.93,5.35
10,1,2002,3.2,1710,2.83,5,60,0.07,0.15,0.7,0.37,2.33,18.29,3.3,6.1,87,7,1.69,3.71,17.01,9.08,4.13
10,2,2002,3.4,1040,2.93,11,55,0.06,0.14,0.76,0.48,2.7,32.68,4.6,6.1,90.6,6,1.29,3.2,17.45,11.08,4.37
10,3,2002,3.6,1410,2.28,7,79,0.05,0.2,1.09,0.57,2.1,22.52,2.6,3.8,89.3,6,1.26,4.85,25.92,13.5,4.19
10,4,2002,3.2,1960,2.02,9,33,0.04,0.08,0.09,0.08,1.29,14.9,2.5,4.8,93.6,2,1.83,3.63,3.69,3.62,2.32
11,1,2002,3,900,1.75,5,17,0.05,0.04,0.01,0.09,1.1,33,1.3,3.8,92.7,3,2.58,2.29,0.51,4.71,1.95
11,2,2002,2.9,1780,1.97,4,14,0.05,0.04,0.17,0.11,1.02,16.74,2.6,5.1,94.9,1,2.33,1.53,7.43,4.71,2.35
11,3,2002,2.9,700,2.1,14,18,0.04,0.05,0.13,0.09,1.62,36.6,2.1,4.3,92.3,0,1.8,1.88,5.46,3.74,2.41
11,4,2002,3,1380,1.5,7,16,0.03,0.04,0.15,0.09,0.76,19.53,1.2,5.7,93.6,1,1.66,2.31,8.31,5.19,1.82
12,1,2002,3.4,6820,1.8,8,52,0.03,0.13,0.49,0.28,1.41,0.49,1.5,3.6,93.1,12,0.94,4.85,17.85,10.16,2.72
12,2,2002,3.3,7510,2.5,18,55,0.03,0.14,0.35,0.13,1.92,0.19,3.1,5.3,94.9,15,0.89,4.46,11.25,4,3.15
12,3,2002,3.4,6530,2,7,72,0.03,0.18,0.58,0.27,1.37,0.17,2.4,4.9,91.6,17,1.1,5.99,18.82,8.84,3.06
12,4,2002,3.1,6530,2.5,8,74,0.06,0.19,0.48,0.29,1.55,0.08,3.3,7.3,92.7,13,1.83,5.4,13.53,8.16,3.52
13,1,2002,3.3,1550,2.1,5,45,0.06,0.11,0.62,0.33,1.44,20.58,2.1,5.3,89.4,6,1.92,3.54,19.23,10.15,3.22
13,2,2002,3.1,2200,2.55,7,43,0.05,0.11,0.55,0.22,1.87,17.18,2.6,8,92.6,3,1.51,3.16,15.88,6.43,3.49
13,3,2002,3.1,5900,2.85,13,59,0.03,0.15,0.56,0.18,2.45,1.66,1.5,5.1,89.4,5,0.93,3.97,14.74,4.84,3.77
13,4,2002,3.2,3430,2.75,11,72,0.04,0.18,0.47,0.2,1.98,0.14,1.1,4.9,93.4,7,1.02,5.07,12.9,5.46,3.64
14,1,2002,3.2,2850,4.55,9,34,0.12,0.09,0.22,0.17,2.61,0.46,4.2,8.8,94.2,0,2.39,1.69,4.3,3.38,5.16
14,2,2002,2.9,1050,2.3,7,22,0.03,0.06,0.24,0.14,1.31,29.33,1.5,5.7,87,14,0.96,2.03,8.76,4.98,2.76
14,3,2002,3.1,1380,1.8,3,20,0.03,0.05,0.21,0.14,0.97,23.32,1.7,5.6,92.8,3,1.38,2.3,9.23,6.21,2.23
14,4,2002,2.9,1650,2.3,7,11,0.02,0.03,0.15,0.08,0.99,20.5,2.7,4.8,92.7,0,0.92,1.09,5.72,3,2.58
15,1,2002,3.1,1420,2.7,9,17,0.04,0.04,0.19,0.13,1.05,21.38,3.6,3.7,92.5,0,1.31,1.43,6.06,4.21,3.1
15,2,2002,3,1230,2.55,7,16,0.04,0.04,0.19,0.12,1.22,27.41,2.7,2.9,92.7,0,1.23,1.38,6.36,4.14,2.93
15,3,2002,3.2,4480,2.15,4,21,0.02,0.05,0.14,0.06,0.78,4.46,4.6,5.5,89.9,1,0.76,2.25,5.71,2.53,2.42
15,4,2002,3.2,7700,1.65,1,6,0.02,0.01,0.32,0.04,0.6,0.22,2.4,4.2,93.4,2,1.06,0.72,15.81,1.91,2.05
16,1,2002,3.3,6960,1.4,5,32,0.04,0.08,0.5,0.24,1.06,0.1,5.2,2.9,91.9,7,1.64,3.61,22.27,10.51,2.26
16,2,2002,3.4,8820,1.25,5,22,0.02,0.06,0.46,0.14,0.98,0.21,4.2,2.5,93.3,1,1.02,2.85,23.88,7.43,1.93
16,3,2002,3.6,5060,1.6,8,40,0.04,0.1,1.13,0.38,1.68,0.16,4.3,5.7,90,2,1.37,3.16,34.7,11.67,3.26
16,4,2002,3.1,1800,3.35,16,31,0.1,0.08,0.35,0.34,2.42,21.84,4.5,4.9,90.6,3,2.32,1.85,8.31,8.07,4.22
17,1,2002,4.4,2860,0.7,19,125,0.08,0.32,0.82,0.33,0.55,0.3,5.2,5.9,88.9,39,3.57,14.25,36.37,14.71,2.25
17,2,2002,3.8,1530,0.95,20,91,0.2,0.23,0.51,0.41,0.97,0.38,5,3.9,91.1,14,8.6,10.13,22.13,17.98,2.31
17,3,2002,6.2,1310,0,27,219,0.09,0.56,2.44,0.73,0.74,0.85,4.2,8.7,87.1,16,2.32,14.67,63.9,19.11,3.81
17,4,2002,3.6,1740,1.35,19,138,0.08,0.35,0.83,0.51,1.05,5.17,7.3,6.8,85.9,17,2.63,11.35,26.46,16.3,3.12
