site,replicate,"pH
KCl","Resist. *
(ohm)","H+
cmol/Kg","P
(Bray ll)
mg/kg","K
mg/kg",Na,K_cation,Ca,Mg,"C
%","S
Am.acet
*
mg/kg","EC *
mS/m","NO3 *
mg/kg",clay,silt,sand,rock,Waterholding 10kPa %,Waterholding 100kPa %,Waterholding mm/m,Na% ,K% ,Ca% ,Mg%,T Value (cmol/kg),Acid Sat% 
10,4,3.7,7030,2.73,8.3,72.9,0.07,0.19,0.6,0.32,1.62,5.3,5.2,2,6.8,8,85.2,5.1,19.61,9.93,96.83,1.79,4.78,15.33,8.18,3.91,69.85
11,1,3.6,3940,1.43,1.1,12.2,0.06,0.03,0.24,0.17,0.91,6.4,6.06,4.9,4.8,8,87.2,1.6,19.62,9.73,98.99,3.10,1.62,12.41,8.79,1.93,74.15
11,2,3.4,2800,1.35,2.6,5.85,0.05,0.03,0.19,0.15,0.84,5.3,8.91,9,4.8,2,93.2,1.5,17.24,7.15,100.87,2.83,1.70,10.75,8.48,1.77,76.24
11,3,3.2,2780,1.83,3.6,19.8,0.06,0.05,0.67,0.21,1.13,8,11.05,6.4,6.8,2,91.2,0.6,17.88,7.91,99.75,2.13,1.80,23.79,7.46,2.82,64.84
11,4,3.4,5360,2.12,2.4,20.2,0.06,0.05,0.33,0.22,1.24,7.1,5.31,3,6.8,8,85.2,0.7,19.95,10.25,97.05,2.16,1.86,11.86,7.91,2.78,76.28
12,1,3.8,4640,2.02,6.8,57,0.06,0.14,0.46,0.25,1.24,7,6.95,6.4,8.8,4,87.2,7,15.23,7.77,74.59,2.05,4.99,15.71,8.54,2.93,68.91
12,2,3.9,4210,1.66,6.9,81.6,0.06,0.21,0.56,0.34,1.46,7.4,7.33,6,6.8,10,83.2,8.6,17.16,9.20,79.58,2.12,7.38,19.76,12.00,2.83,58.71
12,3,3.8,3510,2.14,4.6,94.4,0.08,0.24,1.1,0.57,1.87,5.8,9.19,7.5,6.8,2,91.2,6.4,16.85,7.82,90.30,1.94,5.86,26.63,13.80,4.13,51.83
12,4,3.7,4540,2.14,5.5,101,0.08,0.26,1.1,0.6,1.77,6.4,6.55,5,8.8,8,83.2,6.7,20.04,10.26,97.76,1.91,6.19,26.31,14.35,4.18,51.21
13,1,3.6,3610,2.43,3.8,48.2,0.08,0.12,0.54,0.35,1.37,6.7,8.82,7,6.8,8,85.2,1.2,19.76,9.85,99.06,2.27,3.51,15.35,9.95,3.52,69.02
13,2,3.7,3400,2.43,3.7,67.8,0.13,0.17,0.47,0.31,1.6,8.4,8.68,7.1,10.8,8,81.2,4.2,22.11,11.46,106.44,3.71,4.96,13.40,8.84,3.51,69.22
13,3,3.6,2450,2.63,9.6,84.2,0.06,0.22,0.55,0.28,2.05,9.2,12.12,14.1,8.8,6,85.2,5.4,16.68,9.70,69.81,1.60,5.77,14.71,7.49,3.74,70.31
13,4,3.8,3470,2.25,7.7,104,0.07,0.27,0.7,0.4,1.75,8.4,9.78,8.4,8.8,10,81.2,8,17.93,10.31,76.13,1.90,7.23,18.99,10.85,3.69,60.94
14,1,3.4,3580,4.51,16.5,33.7,0.17,0.09,0.44,0.41,2.31,14.3,11.04,4.4,6.8,8,85.2,0.5,19.82,10.42,93.99,3.02,1.54,7.83,7.29,5.62,80.26
14,2,3.5,4660,2.36,4.3,29.1,0.08,0.07,0.41,0.24,1.42,8,5.76,3.5,6.8,8,85.2,3.5,20.42,11.66,87.64,2.53,2.36,12.97,7.59,3.16,74.69
14,3,3.7,8530,1.41,1.1,16.2,0.06,0.04,0.27,0.21,0.84,5.3,3.68,0.36,6.8,8,85.2,4.7,20.61,10.87,97.33,3.01,2.08,13.53,10.53,1.99,70.93
14,4,3.3,6140,1.62,4,5.85,0.05,0.02,0.22,0.13,0.66,5.3,4.16,2,6.8,10,83.2,1,16.27,10.40,58.67,2.46,0.98,10.81,6.39,2.04,79.37
15,1,3.6,2250,2.12,7.8,21.7,0.1,0.06,0.32,0.21,0.92,9,12.76,10.7,6.8,8,85.2,0.8,17.42,9.59,78.32,3.56,1.98,11.38,7.47,2.81,75.47
15,2,3.8,4070,1.65,5.2,30.9,0.08,0.08,0.28,0.19,1.19,11.3,8.85,6.5,6.8,8,85.2,0.6,18.25,9.84,84.18,3.50,3.47,12.26,8.32,2.28,72.42
15,3,3.6,5500,1.55,3.8,15.3,0.04,0.04,0.22,0.14,0.81,6.6,5.27,5.6,4.8,6,89.2,0.9,16.14,8.23,79.12,2.01,1.97,11.06,7.04,1.99,77.88
15,4,3.9,4750,0.79,2.3,5.85,0.04,0.03,0.17,0.1,0.49,6.4,5.29,3.5,4.8,4,91.2,0.7,15.65,7.74,79.05,3.53,2.65,15.00,8.82,1.13,70.00
16,1,3.8,5250,1.31,5.9,48.7,0.07,0.12,0.62,0.3,1.1,3.6,5.13,1.8,8.8,8,83.2,3.9,18.30,10.32,79.82,2.89,5.16,25.62,12.40,2.42,54.13
16,2,3.8,5300,1.41,6.9,57.2,0.08,0.15,0.74,0.29,1.28,3.8,6.04,0.41,8.8,4,87.2,2,15.83,8.91,69.18,2.99,5.48,27.66,10.84,2.67,52.90
16,3,3.7,4360,1.41,6.2,43.9,0.1,0.11,0.71,0.3,1.24,6,6.82,2.5,4.8,0,95.2,4.3,12.80,5.75,70.58,3.81,4.29,27.04,11.43,2.63,53.53
16,4,3.6,7350,1.18,5.6,36.1,0.06,0.09,0.41,0.28,1.02,1.7,3.99,0.59,6.8,8,85.2,4.4,16.04,9.19,68.44,2.98,4.59,20.34,13.89,2.02,58.33
17,1,5.1,1700,0.75,28.9,139,0.12,0.35,2.3,0.78,1.25,6,15.77,10.6,8.8,8,83.2,7.4,23.79,11.53,122.58,2.79,8.30,53.54,18.16,4.30,17.36
17,2,3.9,2440,0.93,13.8,91.6,0.09,0.23,0.56,0.44,0.59,6.2,8.49,9.4,8.8,6,85.2,12.9,23.63,10.77,128.62,4.00,10.45,24.92,19.58,2.25,41.26
17,3,4.8,2380,0.57,20.2,175,0.09,0.45,1.2,0.64,0.68,3.8,10.08,9.2,8.8,8,83.2,11.2,24.87,11.78,130.86,3.05,15.19,40.63,21.67,2.95,19.42
17,4,4.4,1390,0.66,23.6,154,0.11,0.39,0.79,0.57,0.61,7.2,20.7,18.9,8.8,6,85.2,8.5,25.48,11.56,139.24,4.37,15.67,31.35,22.62,2.52,26.18
